Article Name,Description,Link
Nuclear pasta,Gnocchi spaghetti lasagna bucatini and Swiss cheese may sound tasty at first until you realized that one teaspoon of this pasta weighs more than Mount Everest...,https://en.wikipedia.org/wiki/Nuclear_pasta
Peryton (astronomy),Don't use microwaves next to radio telescopes!,https://en.wikipedia.org/wiki/Peryton_(astronomy)
Seatbelt basalt,A lunar sample spotted by David Scott while driving the Lunar Roving Vehicle on the moon. He assumed that mission control wouldn't allow him to stop and get it so he pretended he was fastening his seatbelt.,https://en.wikipedia.org/wiki/Seatbelt_basalt
Phobos 1,Yet another failed Mars mission this time due to a poorly-designed user interface causing an end-of-mission command to be accidentally transmitted to the spacecraft permanently cutting off the power.,https://en.wikipedia.org/wiki/Phobos_1
Sex in space,And when you've exhausted the list here's something new to try!,https://en.wikipedia.org/wiki/Sex_in_space
Space advertising,Plans to launch giant billboards into space.,https://en.wikipedia.org/wiki/Space_advertising
Space elevator competitions,How high can you go?,https://en.wikipedia.org/wiki/Space_elevator_competitions
Spaghettification,What happens when you fall into a black hole.,https://en.wikipedia.org/wiki/Spaghettification
Stolen and missing Moon rocks,The rocks were out of this world! Unfortunately they fell into the wrong hands.,https://en.wikipedia.org/wiki/Stolen_and_missing_Moon_rocks
Solway Firth Spaceman,Wasn't there when I took the pic – honest!,https://en.wikipedia.org/wiki/Solway_Firth_Spaceman
Space Poop Challenge,A challenge in 2016 to design a new toilet system for use in space.,https://en.wikipedia.org/wiki/Space_Poop_Challenge
Sylacauga (meteorite),The first fallen meteorite in recorded history to have verifiably injured a human.,https://en.wikipedia.org/wiki/Sylacauga_(meteorite)
Tabby's Star,A star that has been suggested to have an alien megastructure surrounding it.,https://en.wikipedia.org/wiki/Tabby%27s_Star
Timekeeping on Mars,How Martians know when they are.,https://en.wikipedia.org/wiki/Timekeeping_on_Mars
Vatican Observatory,One of the few official scientific institutions linked with the Catholic Church.,https://en.wikipedia.org/wiki/Vatican_Observatory
Voyager Golden Record,A compilation of sounds and images of humanity on a phonograph record made of gold-plated copper. It was sent to space in 1977 and is currently the farthest man-made object from Earth.,https://en.wikipedia.org/wiki/Voyager_Golden_Record
Wow! signal,Alien radio transmission or at least the strongest candidate for that role.,https://en.wikipedia.org/wiki/Wow!_signal
Writing in space,How do you write in space?,https://en.wikipedia.org/wiki/Writing_in_space
iPTF14hls,A star that seems to have exploded 6 times in the past 70 years.,https://en.wikipedia.org/wiki/IPTF14hls
Accessory breast,Some people have more than two.,https://en.wikipedia.org/wiki/Accessory_breast
Alien hand syndrome,An unusual neurological disorder also known as Dr. Strangelove syndrome whereby one of the sufferer's hands seems to take on a life of its own.,https://en.wikipedia.org/wiki/Alien_hand_syndrome
Anal wink,Here's looking at you!,https://en.wikipedia.org/wiki/Anal_wink
Auto-brewery syndrome,Like a microbrewery in your digestive system.,https://en.wikipedia.org/wiki/Auto-brewery_syndrome
Banana equivalent dose,A banana for scale.,https://en.wikipedia.org/wiki/Banana_equivalent_dose
Black hairy tongue,Really?,https://en.wikipedia.org/wiki/Black_hairy_tongue
Bristol stool scale,Taking a close look at a toilet bowl for the sake of science. The scale was inspired by eye charts.,https://en.wikipedia.org/wiki/Bristol_stool_scale
ChIA-PET,Chromatin Interaction Analysis by Paired-End Tag sequencing that is.,https://en.wikipedia.org/wiki/ChIA-PET
Chronic Lyme disease,A conspiracy theory about long-lasting effects of Lyme disease not to be confused with actual latent symptoms of lyme disease,https://en.wikipedia.org/wiki/Chronic_Lyme_disease
Coffee enema,A bizarre type of alternative medicine.,https://en.wikipedia.org/wiki/Coffee_enema
Danger triangle of the face,A very specific area of your face where bursting a boil could mean certain death.,https://en.wikipedia.org/wiki/Danger_triangle_of_the_face
Dimples of Venus,For fans of those dimples you don't find on a face.,https://en.wikipedia.org/wiki/Dimples_of_Venus
Dr. Young's Ideal Rectal Dilators,Forcibly withdrawn after officials clamped down on them.,https://en.wikipedia.org/wiki/Dr._Young%27s_Ideal_Rectal_Dilators
Eigengrau,The color seen by the eye in perfect darkness.,https://en.wikipedia.org/wiki/Eigengrau
Fart lighting,The act of igniting gases produced by human flatulence.,https://en.wikipedia.org/wiki/Fart_lighting
Five-second rule,The notion that food dropped on the floor is safe to eat only as long as it's picked up within five seconds.,https://en.wikipedia.org/wiki/Five-second_rule
Gynecomastia,Also known as man boobs or moobs.,https://en.wikipedia.org/wiki/Gynecomastia
Hair-grooming syncope,Who knew that brushing your hair could be deadly?,https://en.wikipedia.org/wiki/Hair-grooming_syncope
Human–animal breastfeeding,If you have breast milk to spare a puppy piglet or monkey would like to hear from you.,https://en.wikipedia.org/wiki/Human%E2%80%93animal_breastfeeding
Hypertrichosis,Also known as Human Werewolf Syndrome.,https://en.wikipedia.org/wiki/Hypertrichosis
Hypoalgesic effect of swearing,Got hurt? Swear the pain away!,https://en.wikipedia.org/wiki/Hypoalgesic_effect_of_swearing
Jenkem,Huffing the gas from fermented human feces for a hallucinating effect.,https://en.wikipedia.org/wiki/Jenkem
Lucky iron fish,Treat anemia by putting an iron fish in your soup.,https://en.wikipedia.org/wiki/Lucky_iron_fish
Maggot therapy,Those hungry wriggling little larvae will clean up festering wounds because they are hungry.,https://en.wikipedia.org/wiki/Maggot_therapy
Male lactation,Given the right conditions just about any male can do it.,https://en.wikipedia.org/wiki/Male_lactation
Maple syrup urine disease,For once a sweet smell you don't want your infants exuding.,https://en.wikipedia.org/wiki/Maple_syrup_urine_disease
Medical students' disease,A condition frequently reported in medical students who perceive themselves to be experiencing the symptoms of the diseases they are studying.,https://en.wikipedia.org/wiki/Medical_students%27_disease
Mellified man,A legendary medicinal substance from Arabia involving honey.,https://en.wikipedia.org/wiki/Mellified_man
Moebius syndrome,A disease most envied by poker players that makes facial expressions impossible.,https://en.wikipedia.org/wiki/Moebius_syndrome
Mucophagy,The consumption of mucus.,https://en.wikipedia.org/wiki/Mucophagy
Nacirema,An obscure New World tribe with some interesting practices.,https://en.wikipedia.org/wiki/Nacirema
Navel lint,A study proves that most belly button fluff is blue and that women are less likely to have it.,https://en.wikipedia.org/wiki/Navel_lint
Nasal sebum,Yes that stuff on the surface of your nose.,https://en.wikipedia.org/wiki/Nasal_sebum
Old person smell,Apparently developed to allow humans to avoid partnering with people who are too old for them. Not to be confused with death smell (though they're not incompatible in some places).,https://en.wikipedia.org/wiki/Old_person_smell
Osteo-odonto-keratoprosthesis,A tooth in the eye (is worth two in the foot?).,https://en.wikipedia.org/wiki/Osteo-odonto-keratoprosthesis
Paleofeces,Our ancestors' poop. Worth a close look apparently.,https://en.wikipedia.org/wiki/Paleofeces
Peanut butter test,A diagnostic test for Alzheimer's disease which measures subjects' ability to smell peanut butter through each nostril.,https://en.wikipedia.org/wiki/Peanut_butter_test
Photic sneeze reflex,People who sneeze when suddenly exposed to bright light.,https://en.wikipedia.org/wiki/Photic_sneeze_reflex
Rapunzel syndrome,Chewing on your hair is one thing but actually eating it can have some untoward results.,https://en.wikipedia.org/wiki/Rapunzel_syndrome
Retained surgical instruments,An unfortunate possible side-effect of surgery.,https://en.wikipedia.org/wiki/Retained_surgical_instruments
Schmidt sting pain index,An entomologist is stung by just about everything known to sting and en route describes the pain involved in terms of a four-point comparative scale.,https://en.wikipedia.org/wiki/Schmidt_sting_pain_index
Supernumerary nipple,A condition in which one has an additional nipple. Apparently 1 in 18 people have this condition.,https://en.wikipedia.org/wiki/Supernumerary_nipple
Takotsubo cardiomyopathy,Yes you can die from a broken heart.,https://en.wikipedia.org/wiki/Takotsubo_cardiomyopathy
Thumb twiddling,Maybe this is unusual to you.,https://en.wikipedia.org/wiki/Thumb_twiddling
Trepanation,A form of surgery where a hole is drilled or scraped into the skull. It was thought that such a procedure could cure problems like epilepsy or allow a person to enter into a higher state of consciousness.,https://en.wikipedia.org/wiki/Trepanning
Uncombable hair syndrome,Not just a bad hair day.,https://en.wikipedia.org/wiki/Uncombable_hair_syndrome
Autocunnilingus,Like autofellatio (see below) but much more difficult.,https://en.wikipedia.org/wiki/Autocunnilingus
Autofellatio,Acts of oral self-stimulation.,https://en.wikipedia.org/wiki/Autofellatio
Armin Meiwes,German guy who met another German guy on a Yahoo Gay-Kannibalengruppe (they exist) in 2001. The rest as they say is history...,https://en.wikipedia.org/wiki/Armin_Meiwes
Bathroom sex,Ever wanted to defecate and have sex at the same time? Well now you can!,https://en.wikipedia.org/wiki/Bathroom_sex
Bread dildo,A supposed Ancient Greek sex toy made of bread.,https://en.wikipedia.org/wiki/Bread_dildo
Cello scrotum,A hoax illness allegedly affecting male cello players.,https://en.wikipedia.org/wiki/Cello_scrotum
Coregasm,An orgasm caused by exercising of the core abdominal muscles.,https://en.wikipedia.org/wiki/Coregasm
Death during consensual sex,Talk about going out with a bang...,https://en.wikipedia.org/wiki/Death_during_consensual_sex
Donkey punch,Allegedly a sex move involving punching one's partner in the back of the head during intercourse.,https://en.wikipedia.org/wiki/Donkey_punch
Female hysteria,A once-common diagnosis of a range of symptoms in women cured through masturbation.,https://en.wikipedia.org/wiki/Female_hysteria
Footsies,Did you know? It's possible for a couple to flirt by touching each other's legs.,https://en.wikipedia.org/wiki/Footsies
Gerbilling,An urban legend about a sexual practice purportedly conducted. It was made popular by South Park.,https://en.wikipedia.org/wiki/Gerbilling
Hamster zona-free ovum test,A test – sometimes called a hamster test – involving human semen hamster eggs and a petri dish.,https://en.wikipedia.org/wiki/Hamster_zona-free_ovum_test
Human penis size,Scientific data on average size racial variations surgical enlargement and urban legends.,https://en.wikipedia.org/wiki/Human_penis_size
Koro,A condition where one (mistakenly) believes that his or her genitals are slowly disappearing.,https://en.wikipedia.org/wiki/Koro_(medicine)
Lithopedion,The rare condition of an unborn fetus calcifying.,https://en.wikipedia.org/wiki/Lithopedion
Male pregnancy,For now it's just a seahorse thing but...,https://en.wikipedia.org/wiki/Male_pregnancy
Napoleon's penis,(Allegedly) cut off after his death and among other things displayed at a museum in Manhattan.,https://en.wikipedia.org/wiki/Napoleon%27s_penis
National Masturbation Day,Not related to the week and certainly not related to the month.,https://en.wikipedia.org/wiki/National_Masturbation_Day
Parasitic twin,A medical condition where one of two conjoined twins lacks essential organs and must rely on the other for survival often leeching its blood. An especially rare variant of this fetus in fetu involves one partially formed fetus developing within the body of the other.,https://en.wikipedia.org/wiki/Parasitic_twin
Penis panic,A colloquial term referring to a type of mass hysteria or panic where males grow fearful of removal or shrinking of the penis.,https://en.wikipedia.org/wiki/Penis_panic
Persistent genital arousal disorder,Not as funny as it may sound.,https://en.wikipedia.org/wiki/Persistent_genital_arousal_disorder
Puppy pregnancy syndrome,A condition found in remote regions of India in which people believe they have conceived a puppy shortly after being bitten by a dog.,https://en.wikipedia.org/wiki/Puppy_pregnancy_syndrome
Rumpology,Theory that a person's buttocks reveal a person's past and future.,https://en.wikipedia.org/wiki/Rumpology
Self-inflicted caesarean section,A harrowing practice verified to have occurred at least five times.,https://en.wikipedia.org/wiki/Self-inflicted_caesarean_section
Sleep sex,A form of parasomnia (similar to sleepwalking) that causes people to engage in sexual acts while they are asleep.,https://en.wikipedia.org/wiki/Sleep_sex
Scrotal inflation,For real now boys: DO NOT try this at home. You can put your life at risk while doing it.,https://en.wikipedia.org/wiki/Scrotal_inflation
Smoking fetishism,Apparently this is a thing.,https://en.wikipedia.org/wiki/Smoking_fetishism
Zombie pornography,Modern reincarnation of necrophilia.,https://en.wikipedia.org/wiki/Zombie_pornography
Jaxon Buell,A child born with only 20% of a brain. He lived for 5 years despite doctors' expectations that he would only live for 1 year.,https://en.wikipedia.org/wiki/Jaxon_Buell
Jeanne Calment,A Frenchwoman with the longest verified human lifespan in recorded history. She was 122 at the time of her death.,https://en.wikipedia.org/wiki/Jeanne_Calment
Stubbins Ffirth,An American trainee doctor who went to unusual lengths in his quest to prove that yellow fever is not contagious.,https://en.wikipedia.org/wiki/Stubbins_Ffirth
Phineas Gage,A 19th-century construction worker who survived a three-foot-long (0.91 m) tamping iron going through his skull. His resultant behavioral changes have made him an important figure in the development of neuroscience.,https://en.wikipedia.org/wiki/Phineas_Gage
Genie,A feral child who was neglected by her father and was locked in a room for the first 13 years of her life.,https://en.wikipedia.org/wiki/Genie_(feral_child)
James Harrison (blood donor),An Australian man whose 1173 blood donations have saved over 2.5 million babies.,https://en.wikipedia.org/wiki/James_Harrison_(blood_donor)
Abby and Brittany Hensel,Conjoined twins with separate heads but joined bodies.,https://en.wikipedia.org/wiki/Abby_and_Brittany_Hensel
Paul Karason,An American man known for having blue skin.,https://en.wikipedia.org/wiki/Paul_Karason
Eugene Landy,A psychologist who developed a form of 24-hour therapy and later became business partners with one of his many celebrity patients Brian Wilson of the Beach Boys.,https://en.wikipedia.org/wiki/Eugene_Landy
Hans Langseth,A guy who had the longest beard recorded in history.,https://en.wikipedia.org/wiki/Hans_Langseth
Robert Liston,A 19th-century Scottish surgeon who among other things performed what has been described as The only operation in history with a 300 percent mortality rate.,https://en.wikipedia.org/wiki/Robert_Liston
Barry Marshall,A doctor who against the consensus of mainstream medicine drank a vial of bacterial culture to prove that stomach ulcers were caused by bacteria rather than stress spicy foods and too much acid as was believed at the time. He won the Nobel Prize for it too.,https://en.wikipedia.org/wiki/Barry_Marshall
Alexis St. Martin,A 19th-century French-Canadian fur trader who survived a gunshot wound and was left with a hole in his stomach which allowed revolutionary experiments on digestion to be conducted.,https://en.wikipedia.org/wiki/Alexis_St._Martin
Lina Medina,A Peruvian girl who gave birth to a son when she was five years old becoming the youngest human mother on record.,https://en.wikipedia.org/wiki/Lina_Medina
Billy Milligan,A man with 24 personalities popularized by the 1981 book The Minds of Billy Milligan.,https://en.wikipedia.org/wiki/Billy_Milligan
Wenceslao Moguel,A Mexican man suspected of working with the Mexican Revolution who survived his execution and continued to live 61 years afterward.,https://en.wikipedia.org/wiki/Wenceslao_Moguel
Blanche Monnier,A French woman who was locked in an attic for 26 years because her parents disapproved of her choice of suitor.,https://en.wikipedia.org/wiki/Blanche_Monnier
Chandre Oram,A man in India with a 13-inch (33 cm) tail.,https://en.wikipedia.org/wiki/Chandre_Oram
Adam Rainer,The only person known to be both a dwarf and a giant.,https://en.wikipedia.org/wiki/Adam_Rainer
Tarrare,A Frenchman with an insatiable appetite who made a show out of his ability to eat just about anything. Including allegedly a toddler.,https://en.wikipedia.org/wiki/File:Featured_article_star.svg
Mary Toft,An English woman who hoaxed doctors into believing that she had given birth to rabbits.,https://en.wikipedia.org/wiki/File:Featured_article_star.svg
Alice in Wonderland syndrome,Distortions of perception that may include one's surroundings appearing too large or too small faint noises sounding loud or time slowing to a trickle.,https://en.wikipedia.org/wiki/Alice_in_Wonderland_syndrome
Anton syndrome,People who are blind but convinced they can see.,https://en.wikipedia.org/wiki/Anton_syndrome
Bananadine,Exactly how psychedelic are those dried banana peels?,https://en.wikipedia.org/wiki/Bananadine
Bicameral mentality,Neuroscientific hypothesis that the human mind before the Bronze Age was split into two discrete components a speaking mind and obeying mind.,https://en.wikipedia.org/wiki/Bicameral_mentality
Capgras delusion,When you're sure a friend or loved one is an impostor.,https://en.wikipedia.org/wiki/Capgras_delusion
Cortical homunculus,A distorted representation of the human body based on areas of the brain dedicated to processing motor functions for different body parts.,https://en.wikipedia.org/wiki/Cortical_homunculus
Cotard delusion,Suffered by people very much alive who believe they're dead.,https://en.wikipedia.org/wiki/Cotard_delusion
Conversion disorder,Blindness and similar disabilities caused by anxiety.,https://en.wikipedia.org/wiki/Conversion_disorder
Cute aggression,The reason why people want to squeeze cute things without harm.,https://en.wikipedia.org/wiki/Cute_aggression
Dancing mania,Unknown forces cause large groups of people to dance hysterically until dropping from exhaustion in multiple incidents in Europe from the 13th to 17th centuries.,https://en.wikipedia.org/wiki/Dancing_mania
Electromagnetic hypersensitivity,For those allergic to Wi-Fi.,https://en.wikipedia.org/wiki/Electromagnetic_hypersensitivity
Encopresis,Voluntary or involuntary defecation in persons who are toilet trained (older than 4 years of age.),https://en.wikipedia.org/wiki/Encopresis
Exploding head syndrome,Ever woken up after an hour or two of sleep thinking you've just heard a massive explosion?,https://en.wikipedia.org/wiki/Exploding_head_syndrome
Expressive aphasia,You know when you have a word on tip of your tongue but you just can't remember it? It's that but with every word.,https://en.wikipedia.org/wiki/Expressive_aphasia
False memory,Forming of false memories; sometimes leads to thousands of people having the same false memory.,https://en.wikipedia.org/wiki/False_memory
Fugue state,You black out and when you wake up years have passed you're in a different city you have a new name and have lived a different life while you were unconscious. Also known as dissociative fugue or psychogenic fugue.,https://en.wikipedia.org/wiki/Fugue_state
Foreign accent syndrome,A rare medical condition whereby sufferers speak their native language with a foreign accent.,https://en.wikipedia.org/wiki/Foreign_accent_syndrome
Fregoli delusion,The belief that different people are actually one person in disguise.,https://en.wikipedia.org/wiki/Fregoli_delusion
Geophagia,Eat dirt pal.,https://en.wikipedia.org/wiki/Geophagia
Homicidal sleepwalking,A real parasomnia that has been successfully used as a defence in court.,https://en.wikipedia.org/wiki/Homicidal_sleepwalking
Impossible color,Supposed colors that do not appear in ordinary visual functioning.,https://en.wikipedia.org/wiki/Impossible_color
Jumping Frenchmen of Maine,Like Tourette syndrome but more Gallic.,https://en.wikipedia.org/wiki/Jumping_Frenchmen_of_Maine
Klüver–Bucy syndrome,A behavioral disorder with some very odd symptoms including hypersexuality and a desire to examine objects with the mouth. Named after two doctors who gave psychotropic drugs to lobotomized monkeys.,https://en.wikipedia.org/wiki/Kl%C3%BCver%E2%80%93Bucy_syndrome
Mariko Aoki phenomenon,A Japanese expression referring to an urge to defecate that is suddenly felt after entering bookstores.,https://en.wikipedia.org/wiki/Mariko_Aoki_phenomenon
Paris syndrome,Being clinically disappointed by Paris. Particularly common among Japanese tourists. Not to be confused with Jerusalem syndrome or Stockholm syndrome.,https://en.wikipedia.org/wiki/Paris_syndrome
Rosenhan experiment,An experiment involving certifiably sane mental patients.,https://en.wikipedia.org/wiki/Rosenhan_experiment
Somatoparaphrenia,A type of delusion in which a sufferer denies ownership of a limb or an entire side of the body.,https://en.wikipedia.org/wiki/Somatoparaphrenia
Stendhal syndrome,A psychosomatic illness that causes rapid heartbeat dizziness fainting confusion and even hallucinations when an individual is exposed to art or natural beauty.,https://en.wikipedia.org/wiki/Stendhal_syndrome
Tanganyika laughter epidemic,What happens when contagious laughter becomes an actual epidemic.,https://en.wikipedia.org/wiki/Tanganyika_laughter_epidemic
Target fixation,To become so fixated on an object you are trying to avoid that you collide with it.,https://en.wikipedia.org/wiki/Target_fixation
Tip of the tongue,What was this article was about again... Wait I think I am just about to remember...,https://en.wikipedia.org/wiki/Tip_of_the_tongue
The Truman Show delusion,Those afflicted feel they are being watched all the time by a television audience like Jim Carrey's character in the 1998 movie The Truman Show.,https://en.wikipedia.org/wiki/The_Truman_Show_delusion
Urophagia,The consumption of urine. Not always for survival reasons.,https://en.wikipedia.org/wiki/Urophagia
Visual release hallucinations,Millions of perfectly sane people are having freakish hallucinations – and just not admitting it.,https://en.wikipedia.org/wiki/Visual_release_hallucinations
Zero stroke,An alleged mental disorder that caused patients to write endless rows of zeroes.,https://en.wikipedia.org/wiki/Zero_stroke
Cherophobia,Fear of happiness,https://en.wikipedia.org/wiki/Aversion_to_happiness
Chromophobia,Fear of colors,https://en.wikipedia.org/wiki/Chromophobia
Coprophobia,Fear of feces or even defecation and possibly enjoying constipation,https://en.wikipedia.org/wiki/Coprophobia
Dentophobia,Fear of dentists,https://en.wikipedia.org/wiki/Dental_fear
Emetophobia,Fear of puking,https://en.wikipedia.org/wiki/Emetophobia
Globophobia,Fear of balloons or balloons popping,https://en.wikipedia.org/wiki/Balloon_phobia
Genuphobia,Fear of knees or the act of kneeling,https://en.wikipedia.org/wiki/Genuphobia
Koumpounophobia,Fear of buttons,https://en.wikipedia.org/wiki/Koumpounophobia
Mageiricophobia,Fear of cooking,https://en.wikipedia.org/wiki/Mageiricophobia
Numerophobia,Fear of numbers,https://en.wikipedia.org/wiki/Numerophobia
Osmophobia,Fear of odors and smells,https://en.wikipedia.org/wiki/Osmophobia
Phallophobia,Fear of the erect penis,https://en.wikipedia.org/wiki/Phallophobia
Philophobia,Fear of love,https://en.wikipedia.org/wiki/Philophobia_(fear)
Phobophobia,Fear of having a phobia,https://en.wikipedia.org/wiki/Phobophobia
Pogonophobia,Fear of beards,https://en.wikipedia.org/wiki/Pogonophobia
Submechanophobia,Fear of submerged man-made objects,https://en.wikipedia.org/wiki/Submechanophobia
Technophobia,Fear of computers and internet,https://en.wikipedia.org/wiki/Technophobia
Telephobia,Fear of making or answering telephone calls,https://en.wikipedia.org/wiki/Telephone_phobia
Adactylidium,A mite with a very unusual life cycle.,https://en.wikipedia.org/wiki/Adactylidium
Animals in space,An annotated list of the various animals used in space programs.,https://en.wikipedia.org/wiki/Animals_in_space
Animal attack,Not kidding: death by beavers bunnies squirrels crocodiles and other creatures you should not have as pets.,https://en.wikipedia.org/wiki/Animal_attack
Anting (bird activity),Not recommended for humans.,https://en.wikipedia.org/wiki/Anting_(bird_activity)
Apophallation,Are you a slug and can't extract your penis? Amputate and change your gender.,https://en.wikipedia.org/wiki/Apophallation
Bee removal,Removal of bees.,https://en.wikipedia.org/wiki/Bee_removal
Candiru,Barbed fish allegedly attracted to lodged in and extracted from human penises.,https://en.wikipedia.org/wiki/Candiru_(fish)
Carcinisation,Crustaceans may evolve how they wish but eventually it all comes back to crab shape.,https://en.wikipedia.org/wiki/Carcinisation
Common Surinam toad,The mother's back is where the eggs are embedded and where they develop.,https://en.wikipedia.org/wiki/Common_Surinam_toad
Conservation-induced extinction,The extinction of highly endangered parasites at the hands of conservationists.,https://en.wikipedia.org/wiki/Conservation-induced_extinction
Depopulation of cockroaches in post-Soviet states,A great ecological problem indeed complete with fourteen references in Russian.,https://en.wikipedia.org/wiki/Depopulation_of_cockroaches_in_post-Soviet_states
Cat–dog relationship,For centuries the two most popular house pets have been fighting like well cats and dogs.,https://en.wikipedia.org/wiki/Cat%E2%80%93dog_relationship
Cymothoa exigua,A parasitic crustacean that when female (they are hermaphroditic) attaches to and then destroys a fish's tongue hooks itself to the remaining stub and becomes the fish's new tongue.,https://en.wikipedia.org/wiki/Cymothoa_exigua
Epomis,A deceptive beetle larva that entices its own predators by feigning prey-like movements in order to eat its predator.,https://en.wikipedia.org/wiki/Epomis
Eunice aphroditois,Armed with sharp teeth it is known to attack with such speeds that its prey is sometimes sliced in half. As if being a three-metre (9 ft 10 in) worm were not impressive enough.,https://en.wikipedia.org/wiki/Eunice_aphroditois
Goblin shark,Indeed a monster from the deepest oceans.,https://en.wikipedia.org/wiki/File:Featured_article_star.svg
Hallucinogenic fish,No the fish are not trippin'; they will cause hallucinations if ingested. It is not known if hallucinations will occur if one fish consumes another.,https://en.wikipedia.org/wiki/Hallucinogenic_fish
Hebrew character,Actually a species of moth.,https://en.wikipedia.org/wiki/Hebrew_character
Hurricane Shark,The meteorological equivalent of Bigfoot. (Except it's real. Kind of. Probably. At least once.),https://en.wikipedia.org/wiki/Hurricane_Shark
Israel-related animal conspiracy theories,Has an animal looked suspicious? It was probably Israel.,https://en.wikipedia.org/wiki/Israel-related_animal_conspiracy_theories
Jenny Haniver,A grotesque-looking sea monster made from the corpse of a ray.,https://en.wikipedia.org/wiki/Jenny_Haniver
Lioconcha hieroglyphica,A type of clam with a shell covered in hieroglyphs.,https://en.wikipedia.org/wiki/Lioconcha_hieroglyphica
List of animals displaying homosexual behavior,Everything from salmon to seagulls to dragonflies.,https://en.wikipedia.org/wiki/List_of_animals_displaying_homosexual_behavior
List of animal sounds,Snail	do Munch crunch Squirrel do squeak.,https://en.wikipedia.org/wiki/List_of_animal_sounds
List of animals awarded human credentials,Mostly due to pranks pulled on diploma mills.,https://en.wikipedia.org/wiki/List_of_animals_awarded_human_credentials
London Underground mosquito,A species of mosquito that lives in underground railways.,https://en.wikipedia.org/wiki/London_Underground_mosquito
Love dart,Hermaphroditic snails play Cupid.,https://en.wikipedia.org/wiki/Love_dart
Lyall's wren,Made extinct by feral cats possibly the offspring of one pregnant female.,https://en.wikipedia.org/wiki/Lyall%27s_wren
Nightingale excrement as facial,Droppings of a nightingale variety used in facials. Some claim that it helps with acne. Project Medicine states that the references are not MEDRS. (MEDical Reliable Source),https://en.wikipedia.org/wiki/Uguisu_no_fun
Orbiting Frog Otolith,A NASA frog experiment sending two bullfrogs into space to test their sense of balance.,https://en.wikipedia.org/wiki/Orbiting_Frog_Otolith
Paracerceis sculpta,A species of isopod that has some males that mimic females and others that mimic juveniles allowing them to mate without the alpha males realising what is going on behind their backs.,https://en.wikipedia.org/wiki/Paracerceis_sculpta
Pasilalinic-sympathetic compass,Telepathic communication is not possible in snails no matter how far apart they may be. Nothing else has been ruled out.,https://en.wikipedia.org/wiki/Pasilalinic-sympathetic_compass
Penis fencing,A literal figurative variety of cockfighting between some species of flatworm.,https://en.wikipedia.org/wiki/Penis_fencing
Polar bear jail,For polar bear criminals.,https://en.wikipedia.org/wiki/Polar_bear_jail
Prostitution among animals,Did you know that prostitution exists among animals?,https://en.wikipedia.org/wiki/Prostitution_among_animals
Rotating locomotion in living systems,Why don't animals have wheels?,https://en.wikipedia.org/wiki/File:Featured_article_star.svg
Shortarse feelerfish,Bathumycops brevianalis is a fish so named for its short anal fins – brevianalis meaning short anus.,https://en.wikipedia.org/wiki/Shortarse_feelerfish
Supernumerary body part,Having an extra body part be it as simple as an eleventh finger or as extreme as a second head!,https://en.wikipedia.org/wiki/Supernumerary_body_part
Thagomizer,A feature of Stegosaurus anatomy named after a Far Side comic strip.,https://en.wikipedia.org/wiki/Thagomizer
Traumatic insemination,A form of mating in invertebrates in which the male stabs the female in the abdomen with his penis and injects his sperm through the wound.,https://en.wikipedia.org/wiki/Traumatic_insemination
Trout tickling,Coochy coo!,https://en.wikipedia.org/wiki/Trout_tickling
Uraba lugens,It's called the mad hatterpillar for a reason...,https://en.wikipedia.org/wiki/Uraba_lugens
Worm charming,No spade? No worries! There's a better way to get hold of earthworms.,https://en.wikipedia.org/wiki/Worm_charming
Bonsai Kitten,The practice of growing small jar-shaped kittens caused controversy years after it was revealed to be a hoax.,https://en.wikipedia.org/wiki/Bonsai_Kitten
Cat burning,A form of entertainment in the Middle Ages sometimes participated in by royalty.,https://en.wikipedia.org/wiki/Cat_burning
Demon Cat,A cat that supposedly haunts government buildings in Washington D.C.,https://en.wikipedia.org/wiki/Demon_Cat
Popular cat names,Cat names ranked by popularity.,https://en.wikipedia.org/wiki/Popular_cat_names
Polydactyl cat,Cats with extraordinary numbers of toes.,https://en.wikipedia.org/wiki/Polydactyl_cat
Odd-eyed cat,One of the national treasures of Turkey.,https://en.wikipedia.org/wiki/Odd-eyed_cat
Pittsburgh refrigerator cat,A breed of cat that lived in refrigerators that people actually believed existed.,https://en.wikipedia.org/wiki/Pittsburgh_refrigerator_cat
Cats That Look Like Hitler,Kitlers exist live with it.,https://en.wikipedia.org/wiki/Cats_That_Look_Like_Hitler
Cow tipping,This actually takes up to 14 people to make it happen.,https://en.wikipedia.org/wiki/Cow_tipping
Hardware disease,A condition in bovines caused by ingesting stray bits of metal.,https://en.wikipedia.org/wiki/Hardware_disease
Cannibalism in poultry,See: tastes like chicken.,https://en.wikipedia.org/wiki/Cannibalism_in_poultry
Chicken eyeglasses,Tiny spectacles for chicks to stop them from seeing red.,https://en.wikipedia.org/wiki/Chicken_eyeglasses
Chicken Dance Chicken (dance),There is a huge difference.,https://en.wikipedia.org/wiki/Chicken_Dance
Chicken gun,Valuable for the mitigation of damage from bird strikes. The chicken carcass must be thawed first though.,https://en.wikipedia.org/wiki/Chicken_gun
Chicken hypnotism,Have you ever wanted to hypnotize a chicken?  If not why not?,https://en.wikipedia.org/wiki/Chicken_hypnotism
Chicken or the egg,Which came first?,https://en.wikipedia.org/wiki/Chicken_or_the_egg
